Pessoa,Idade
10,44
10,45
10,45
10,45
10,45
10,45
10,46
10,47
10,48
10,48
10,49
10,50
10,50
10,51
10,51
10,51
10,51
10,51
10,52
10,52
10,52
10,52
10,52
10,53
10,53
10,53
10,53
10,54
10,54
10,54
10,54
10,54
10,54
10,55
10,55
10,55
10,55
10,55
10,55
10,55
10,55
10,55
10,56
10,56
10,56
10,56
10,56
10,56
10,56
10,57
10,57
10,57
10,57
10,57
10,57
10,57
10,57
10,57
10,57
10,57
10,58
10,58
10,58
10,58
10,58
10,58
10,58
10,58
10,59
10,59
10,59
10,60
10,60
10,60
10,60
10,60
10,60
10,60
10,60
10,60
10,60
10,60
10,60
10,60
10,61
10,61
10,61
10,61
10,62
10,62
10,62
10,63
10,63
10,64
10,64
10,64
10,65
10,65
