Pessoa,Idade
7,31
7,31
7,34
7,34
7,35
7,35
7,35
7,36
7,36
7,36
7,37
7,37
7,38
7,39
7,40
7,40
7,40
7,40
7,40
7,40
7,40
7,40
7,40
7,41
7,42
7,42
7,42
7,42
7,42
7,42
7,42
7,42
7,42
7,42
7,43
7,43
7,44
7,44
7,44
7,45
7,45
7,45
7,45
7,46
7,46
7,46
7,46
7,46
7,46
7,47
7,47
7,47
7,47
7,47
7,47
7,47
7,48
7,48
7,48
7,48
7,48
7,48
7,48
7,48
7,48
7,48
7,49
7,49
7,50
7,50
7,50
7,50
7,50
7,50
7,50
7,50
7,50
7,51
7,51
7,52
7,52
7,52
7,52
7,52
7,52
7,52
7,52
7,52
7,52
7,52
7,52
7,53
7,53
7,55
7,55
7,56
7,56
7,56
7,57
7,58
7,58
7,60
