Pessoa,Idade
8,28
8,33
8,33
8,38
8,39
8,39
8,40
8,41
8,42
8,43
8,43
8,44
8,44
8,45
8,45
8,45
8,45
8,45
8,45
8,46
8,46
8,46
8,46
8,46
8,46
8,47
8,47
8,47
8,47
8,47
8,47
8,48
8,48
8,48
8,48
8,48
8,48
8,48
8,48
8,48
8,48
8,48
8,48
8,49
8,49
8,49
8,49
8,50
8,50
8,50
8,50
8,50
8,51
8,51
8,51
8,52
8,52
8,52
8,52
8,52
8,52
8,52
8,52
8,52
8,53
8,53
8,53
8,53
8,53
8,53
8,54
8,54
8,54
8,54
8,54
8,54
8,55
8,55
8,55
8,55
8,55
8,55
8,55
8,55
8,56
8,56
8,56
8,57
8,57
8,57
8,58
8,58
8,58
8,58
8,59
8,60
8,60
8,60
8,62
8,63
8,63
