"","lat","lon"
"1",-22.9548653717134,-47.0279052544034
"2",-22.8937083702277,-47.0584129531929
"3",-22.9397638156532,-47.1417374114898
"4",-22.875647373702,-46.9998093491698
"5",-22.9644539751739,-47.140674183571
"6",-22.8002275087555,-47.1034399012659
"7",-22.9926367161643,-47.000322029905
"8",-22.8312788120351,-47.1061590618045
"9",-22.8110839290969,-47.065250331948
"10",-22.9474955042084,-47.120608207164
"11",-22.9390087997102,-47.0532616149064
"12",-22.834835730314,-47.0470368763818
"13",-22.9383237120745,-47.1364814172609
"14",-22.875144201173,-47.0910048636655
"15",-22.9808863100616,-47.0559209687529
"16",-22.9050221212641,-47.1402971798424
"17",-22.8517092387568,-47.0012585251873
"18",-22.8645828029212,-47.0464802106277
"19",-22.9985252300585,-47.1342626308479
"20",-22.8917117250221,-47.1201765614741
"21",-22.9647276343212,-47.0293373196203
"22",-22.9669206704815,-47.089064215541
"23",-22.8676492062816,-47.0613076751314
"24",-22.809081039069,-47.0237754985699
"25",-22.8049105885782,-46.9978992586966
